session_id,target
1,2.5596468687012595e-05
2,2.9115532241716896e-08
3,4.590362485273025e-09
4,5.805779143356922e-11
5,2.211562706340588e-05
6,2.4430344578642198e-06
7,0.0005536259410804665
8,8.70824944905937e-05
9,1.2608077352230246e-05
10,0.0010884625841161403
11,1.788752251655515e-05
12,1.584912079683022e-06
13,5.98109362004708e-06
14,0.008432762044563521
15,6.176741807641961e-05
16,6.667591649550497e-05
17,0.01477007943347611
18,3.1518770690233027e-07
19,0.0005694197096318336
20,6.12538891007856e-08
21,0.06501482288819178
22,4.280889029477584e-10
23,1.9189920340978682e-05
24,5.705796466070756e-06
25,0.08000358576631086
26,4.845401949841112e-10
27,4.528786221953109e-06
28,2.4176428921735616e-09
29,0.01624599001698233
30,8.777559373428285e-05
31,0.014092224561385066
32,0.035336693528322714
33,7.794715176897252e-06
34,2.6981675949229195e-08
35,0.01350177597321841
36,0.0004995863024607202
37,4.776504817820962e-12
38,2.2220122795680733e-08
39,8.777559373428285e-05
40,4.666558702839939e-07
41,0.0003050278971367806
42,4.512795798086597e-05
43,1.4222793967727843e-06
44,5.868336179746983e-06
45,0.3355675479260775
46,9.510671748193341e-06
47,8.529883114075337e-05
48,3.252677064765196e-06
49,1.6072073906926533e-05
50,5.8164193871174825e-08
51,3.6748121624952775e-10
52,4.3681936234017674e-06
53,0.035412083451360654
54,0.00011832839140558777
55,8.199610250505799e-07
56,4.248876093429623e-05
57,7.797695945609474e-09
58,9.47709484984286e-08
59,7.979633168641991e-07
60,8.312345616890234e-08
61,8.153739347248228e-08
62,3.492214864475772e-05
63,2.178982548969966e-07
64,4.901116184916461e-06
65,5.666991830522063e-07
66,1.4464620172055642e-07
67,4.80124634361056e-06
68,0.00011465871307539441
69,0.07014626021037973
70,2.0468414725490295e-06
71,0.00025185531197642114
72,6.34577784770394e-05
73,0.0011083259546127069
74,2.341517826067375e-06
75,2.4402003370072143e-05
76,0.00023174883416275015
77,0.00012601659577838082
78,0.001478520903386143
79,3.3915089280294008e-06
80,1.227310823062894e-06
81,9.516571647501418e-07
82,1.021006002154642e-06
83,1.3815194927677847e-10
84,0.5705212963055935
85,9.688754084686798e-06
86,2.0989166049982876e-07
87,0.0012837369589835852
88,0.00018252954949350155
89,0.0003442565986243828
90,0.04133922791614894
91,1.6729988053119738e-06
92,1.6237302872934875e-07
93,0.03357787925794844
94,1.989732313347173e-05
95,0.0012950977407958529
96,3.782586695161345e-08
97,5.074292813387215e-05
98,6.465229395188165e-07
99,2.50115123494662e-07
100,7.567140522209596e-05
101,7.4008008179800945e-06
102,0.0017233962055485065
103,1.795547072237838e-05
104,2.5325606777903644e-05
105,1.7666814375205365e-06
106,2.7827956735899027e-06
107,7.220743023463386e-06
108,1.4315411909112077e-05
109,1.2454771659472392e-07
110,1.3617315588234974e-06
111,0.00010383313622771417
112,1.2094467103797177e-09
113,0.00022811853094301788
114,3.937008417322549e-08
115,3.629676331006051e-07
116,9.371736430354114e-06
117,3.3188693724209033e-05
118,0.002814328098103742
119,0.00015032585798628934
120,0.00013188023894997514
121,5.77582772804438e-07
122,1.0915350474327123e-06
123,5.498837452466087e-06
124,1.4310019279978556e-05
125,0.0010129071531984365
